"","time","activity","skill","present"
"1","20061",1,"expt_design",0
"2","20062",1,"expt_design",0
"3","20063",1,"expt_design",0
"4","20064",1,"expt_design",0
"5","20071",1,"expt_design",0
"6","20072",1,"expt_design",0
"7","20073",1,"expt_design",1
"8","20074",1,"expt_design",1
"9","20081",1,"expt_design",1
"10","20082",1,"expt_design",1
"11","20083",1,"expt_design",1
"12","20084",1,"expt_design",1
"13","20091",1,"expt_design",1
"14","20092",1,"expt_design",1
"15","20093",1,"expt_design",1
"16","20094",1,"expt_design",1
"17","20101",1,"expt_design",1
"18","20102",1,"expt_design",1
"19","20103",2,"expt_design",1
"20","20104",2,"expt_design",1
"21","20111",2,"expt_design",1
"22","20112",2,"expt_design",1
"23","20113",2,"expt_design",1
"24","20114",2,"expt_design",1
"25","20121",2,"expt_design",1
"26","20122",2,"expt_design",1
"27","20123",2,"expt_design",1
"28","20124",2,"expt_design",1
"29","20131",2,"expt_design",1
"30","20132",2,"expt_design",1
"31","20133",2,"expt_design",1
"32","20134",2,"expt_design",1
"33","20141",2,"expt_design",1
"34","20142",2,"expt_design",1
"35","20143",2,"expt_design",1
"36","20144",2,"expt_design",1
"37","20151",2,"expt_design",1
"38","20152",2,"expt_design",1
"39","20153",3,"expt_design",1
"40","20154",3,"expt_design",1
"41","20161",3,"expt_design",1
"42","20162",3,"expt_design",1
"43","20163",3,"expt_design",1
"44","20164",3,"expt_design",1
"45","20171",3,"expt_design",1
"46","20172",3,"expt_design",1
"47","20173",3,"expt_design",1
"48","20174",3,"expt_design",1
"49","20181",3,"expt_design",1
"50","20182",3,"expt_design",1
"51","20183",4,"expt_design",1
"52","20184",4,"expt_design",1
"53","20191",4,"expt_design",1
"54","20192",4,"expt_design",1
"55","20193",4,"expt_design",1
"56","20194",4,"expt_design",1
"57","20201",4,"expt_design",1
"58","20202",4,"expt_design",1
"59","20203",4,"expt_design",1
"60","20061",1,"data_clean",0
"61","20062",1,"data_clean",0
"62","20063",1,"data_clean",0
"63","20064",1,"data_clean",0
"64","20071",1,"data_clean",0
"65","20072",1,"data_clean",0
"66","20073",1,"data_clean",1
"67","20074",1,"data_clean",1
"68","20081",1,"data_clean",1
"69","20082",1,"data_clean",1
"70","20083",1,"data_clean",1
"71","20084",1,"data_clean",1
"72","20091",1,"data_clean",1
"73","20092",1,"data_clean",1
"74","20093",1,"data_clean",1
"75","20094",1,"data_clean",1
"76","20101",1,"data_clean",1
"77","20102",1,"data_clean",1
"78","20103",2,"data_clean",1
"79","20104",2,"data_clean",1
"80","20111",2,"data_clean",1
"81","20112",2,"data_clean",1
"82","20113",2,"data_clean",1
"83","20114",2,"data_clean",1
"84","20121",2,"data_clean",1
"85","20122",2,"data_clean",1
"86","20123",2,"data_clean",1
"87","20124",2,"data_clean",1
"88","20131",2,"data_clean",1
"89","20132",2,"data_clean",1
"90","20133",2,"data_clean",1
"91","20134",2,"data_clean",1
